,hash,version,time
0,d5226fa6dbae,Linux 5.5,2020/1/26 16:23
1,219d54332a09,Linux 5.4,2019/11/24 16:32
2,4d856f72c10e,Linux 5.3,2019/9/15 14:19
3,0ecfebd2b524,Linux 5.2,2019/7/7 15:41
4,e93c9c99a629,Linux 5.1,2019/5/5 17:42
5,1c163f4c7b3f,Linux 5.0,2019/3/3 15:21
6,8fe28cb58bcb,Linux 4.20,2018/12/23 15:55
7,84df9525b0c2,Linux 4.19,2018/10/22 7:37
8,94710cac0ef4,Linux 4.18,2018/8/12 13:41
9,29dcea88779c,Linux 4.17,2018/6/3 14:15
10,0adb32858b0b,Linux 4.16,2018/4/1 14:20
11,d8a5b80568a9,Linux 4.15,2018/1/28 13:20
12,bebc6082da0a,Linux 4.14,2017/11/12 10:46
13,569dbb88e80d,Linux 4.13,2017/9/3 13:56
14,6f7da290413b,Linux 4.12,2017/7/2 16:07
15,a351e9b9fc24,Linux 4.11,2017/4/30 19:47
16,c470abd4fde4,Linux 4.10,2017/2/19 14:34
17,69973b830859,Linux 4.9,2016/12/11 11:17
18,c8d2bc9bc39e,Linux 4.8,2016/10/2 16:24
19,523d939ef98f,Linux 4.7,2016/7/24 12:23
20,2dcd0af568b0,Linux 4.6,2016/5/15 15:43
21,b562e44f507e,Linux 4.5,2016/3/13 21:28
22,afd2ff9b7e1b,Linux 4.4,2016/1/10 15:01
23,6a13feb9c828,Linux 4.3,2015/11/1 16:05
24,64291f7db5bd,Linux 4.2,2015/8/30 11:34
25,b953c0d234bc,Linux 4.1,2015/6/21 22:05
